Player,Points,Assists,Rebounds,Steals,Blocks,Primary Position
LeBron,7491,1871,2348,445,250,3
MJ,5987,1022,1152,376,158,2
Kareem,5762,767,2481,189,476,5
Kobe,5640,1040,1119,310,144,2
Karl_Malone,4761,610,2062,258,135,4
Wilt,3607,673,3913,0,0,5
Shaq,5250,582,2508,117,459,5
Duncan,5172,764,2859,168,568,4
Dirk,3663,360,1446,149,129,4
Hakeem,3755,458,1621,245,245,5
Garnett,2601,471,1534,178,186,4
Magic,3701,2346,1465,358,64,1
Stockton,2436,1839,608,338,50,1
Robertson,1910,769,578,15,4,1
Steve_Nash,2072,1061,422,66,14,1
Jason_Kidd,2043,1263,1058,302,52,1
Bill Russell,2673,770,4104,0,0,5
Elvin_Hayes,2194,185,1244,97,222,5
Moses_Malone,2077,136,1295,84,151,4
Robert_Parish,2820,234,1765,145,309,5
Charles_Barkley,2833,482,1582,193,108,4
Dwight_Howard,1749,132,1315,84,234,5
CP3,2133,865,519,222,18,1
Paul_Pierce,3180,579,985,204,105,3
Allen_Iverson,2111,425,273,147,14,1
Patrick_Ewing,2813,275,1435,122,303,5
Dominique_Wikins,1423,143,375,73,35,3
Jerry_West,4457,970,855,0,0,1
Anthony_Davis,979,96,369,49,63,4
Kawhi_Leonard,2531,335,975,217,83,3
Russell_Westbrook,2489,778,686,184,28,1
Steph_Curry,2968,704,604,181,30,1
Julius_Erving,4580,841,1611,287,293,3
Kevin_Durant,4043,557,1071,139,163,3
Larry_Bird,3897,1062,1683,296,145,3
David_Robinson,2221,280,1301,151,312,5
Dwyane_Wade,3954,870,928,273,175,2
Artis_Gilmore,1768,232,1267,60,168,5
John_Havlicek,3776,825,1186,60,16,3
Tony_Parker,4045,1143,666,198,19,1
Wes_Unseld,1260,453,1777,67,55,5
Kevin_McHale,3182,274,1253,65,281,4
Rick_Barry,2870,456,675,106,39,3
Elgin_Baylor,3623,541,1724,0,0,3
Carmelo_Anthony,1764,185,513,93,26,3
Walt_Bellamy,850,136,680,0,0,5
Nate_Thurmond,966,227,1101,11,51,5
Ray_Allen,2749,449,648,164,41,2
