Player,Points,Assists,Rebounds,Steals,Blocks,Primary Position
LeBron,34241,9346,9405,2015,957,3
MJ,32292,5633,6672,1944,893,2
Kareem,38387,5660,17440,1160,3189,5
Kobe,33643,6306,7047,1944,640,2
Karl_Malone,36928,5248,14968,2085,1145,4
Wilt,31419,4643,23924,0,0,5
Shaq,28596,3026,13099,739,2732,5
Duncan,26496,4225,15091,1025,3020,4
Dirk,31560,3651,11489,1210,1281,4
Hakeem,26946,3058,13748,2162,3820,5
Garnett,26071,5445,14662,1859,2037,4
Magic,17707,10141,6559,1724,374,1
Stockton,19711,15806,4051,3265,315,1
Robertson,26710,9887,7804,77,4,1
Steve_Nash,17387,10335,3642,899,102,1
Jason_Kidd,17529,12091,8725,2684,450,1
Bill Russell,14522,4100,21620,0,0,5
Elvin_Hayes,27313,2398,16279,1771,864,5
Moses_Malone,27409,1796,16212,1089,1733,4
Robert_Parish,23334,2180,14715,1219,2361,5
Charles_Barkley,23757,4215,12546,1648,888,4
Dwight_Howard,18582,1577,13641,1013,2127,5
CP3,18711,9607,4572,2220,131,1
Paul_Pierce,26397,4708,7527,1752,745,3
Allen_Iverson,24368,5624,3394,1983,164,1
Patrick_Ewing,24815,2215,11607,1136,2894,5
Dominique_Wikins,26668,2677,7169,1378,642,3
Jerry_West,25192,6238,5376,81,23,1
Anthony_Davis,12677,1182,5483,730,1264,4
Kawhi_Leonard,9793,1403,3352,932,346,3
Russell_Westbrook,20315,7267,6186,1530,267,1
Steph_Curry,16419,4621,3158,1205,156,1
Julius_Erving,30026,5176,10525,2272,1941,3
Kevin_Durant,22940,3486,5992,948,941,3
Larry_Bird,21791,5695,8974,1556,755,3
David_Robinson,20790,2441,10497,1388,2954,5
Dwyane_Wade,23165,5701,4933,1620,885,2
Artis_Gilmore,24941,3050,16330,648,3178,5
John_Havlicek,26395,6114,8007,476,117,3
Tony_Parker,19473,7036,3396,1053,98,1
Wes_Unseld,10624,3822,13769,628,367,5
Kevin_McHale,17335,1670,7122,344,1690,4
Rick_Barry,25279,4952,6863,1104,269,3
Elgin_Baylor,23149,3650,11463,0,0,3
Carmelo_Anthony,26314,3244,7251,1121,550,3
Walt_Bellamy,20941,2544,14241,52,48,5
Nate_Thurmond,14437,2575,14464,125,553,5
Ray_Allen,24505,4361,5272,1451,244,2
